S,B,latency,"memory, mb",energy,"memory_calculated, mb"
512,8,0.008043303154408932,148.1,1.0537228298439922,211.97
512,16,0.01578456722199917,284.1,2.296765279634092,419.97
512,32,0.030835653422400355,556.1,4.692343125766241,835.97
512,64,0.05913996044546366,1100.11,8.956037821137636,1667.97
512,128,0.1160934092476964,2188.12,17.78103926949193,3331.97
512,256,0.2324401969090104,4364.14,35.974446648088005,6659.97
512,512,0.46318780188448727,8716.19,71.6600975764622,13315.97
512,77,0.07085918704979122,1322.29,10.977611542787752,2005.97
512,69,0.06370227201841772,1186.12,9.875088525441816,1797.97
512,63,0.058012701803818345,1084.12,9.0238228095706,1641.97
1024,1,0.004208675352856517,80.12,0.5964788296431676,107.97
1024,2,0.008030869299545884,148.09,1.1423354647751665,211.97
1024,4,0.01563493744470179,284.09,2.3646231027560494,419.97
1024,8,0.029879044508561492,556.1,4.615472227394515,835.97
1024,16,0.05937116779386997,1100.1,9.2649662249295,1667.97
1024,32,0.11661858879961073,2188.1,18.3782547064577,3331.97
1024,64,0.23265282553620636,4364.11,36.67175537125488,6659.97
1024,128,0.4659978346899152,8716.12,72.88929599185259,13315.97
1024,256,,OOM,,26627.97
1024,512,,OOM,,53251.97
1024,77,0.2798096698243171,5248.14,44.03456815351578,8011.97
1024,69,0.2507648700848222,4704.12,39.43006023214139,7179.97
1024,63,0.22885883040726185,4296.12,36.07669951683413,6555.97
448,1,0.0011138725094497204,25.13,0.1599879221792333,23.87
448,2,0.0019180441740900278,38.13,0.27754071076544,43.78
448,4,0.003167257411405444,64.59,0.42384045758679506,83.59
448,8,0.006038337014615536,117.22,0.8035234629923103,163.22
448,16,0.01164260390214622,221.35,1.721773908680566,322.47
448,32,0.022964406525716186,430.1,3.584135440443484,640.97
448,64,0.04545967327430844,846.11,7.137865933285086,1277.97
448,128,0.09192892769351602,1678.12,14.54822153649171,2551.97
448,256,0.17846496868878603,3344.14,28.14015797969185,5099.97
448,512,0.35587103944271803,6676.19,55.84134086282429,10195.97
448,77,0.056277030846104026,1015.15,8.870628480159827,1536.75
448,69,0.050576827488839626,911.23,7.954472285211673,1377.5
448,63,0.04613741859793663,832.23,7.27467808159689,1258.06
112,1,0.0007460594642907381,12.93,0.09703949885431679,5.21
112,2,0.0007341129239648581,13.72,0.09691256678529082,6.46
112,4,0.0007383641786873341,15.35,0.09700299104630015,8.95
